IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
116,"FE050-SD_.4F._",400,50,1,640,200,0.41,2773.94,5092.18,2773.94,3010.29,3232.56,3454.73,3704.68,3926.71,4162.7,4384.75,4620.62,4870.35,5092.18,35.88,34.72,32.4,29.41,26.09,22.11,18.46,14.65,10.17,5.37,0.06,0,0
117,"FE050-VD_.4I._",400,50,0,1340,780,1.35,4250.87,9721.25,4250.87,4773.52,5348.43,5888.5,6428.57,6986.06,7526.13,8066.2,8606.27,9163.76,9721.25,176.27,174.41,169.19,159.5,147.58,132.3,113.29,91.3,62.98,34.29,0.75,0,0
118,"FE050-VD_.4I._",400,50,1,1000,550,0.9399999999999999,3937.28,7874.56,3937.28,4337.98,4721.25,5104.53,5505.23,5888.5,6306.62,6689.9,7090.59,7491.29,7874.56,90.56,86.83,81.61,76.02,69.69,60.75,51.43,40.25,27.95,14.16,0.75,0,0
119,"FE056-AD_.4F._",400,50,0,650,210,0.44,3049.18,5793.44,3049.18,3314.75,3590.16,3875.41,4150.82,4416.39,4681.97,4967.21,5232.79,5508.2,5793.44,56.26,53.33,49.94,45.85,41.05,36.02,29.82,23.27,16.26,9.01,0.23,0,0
120,"FE056-AD_.4F._",400,50,1,480,125,0.23,2124.59,4721.31,2124.59,2380.33,2645.9,2891.8,3167.21,3422.95,3678.69,3944.26,4190.16,4465.57,4721.31,29.36,28.3,26.67,24.44,22.22,19.53,16.49,12.75,9.24,4.8,0.12,0,0
121,"FE056-SD_.4F._",400,50,0,880,420,0.76,3617.53,7908.26,3617.53,4036.82,4469.34,4902,5334.83,5754.67,6187.62,6607.62,7054.01,7487.61,7908.26,101.23,97.98,93.09999999999999,86.81999999999999,78.68000000000001,69.37,59.83,48.89,35.62,19.09,0.93,0,0
122,"FE056-SD_.4F._",400,50,1,670,280,0.46,3111.14,6612.03,3111.14,3465,3805.77,4146.49,4513.53,4854.34,5208.37,5562.47,5916.59,6270.86,6612.03,55.08,51.36,47.64,44.39,39.74,35.56,29.98,23.7,17.18,9.039999999999999,0.89,0,0
123,"FE056-VD_.4M._",400,50,0,1320,1250,2.6,6059.02,11626.23,6059.02,6590.16,7180.33,7731.15,8262.290000000001,8832.790000000001,9383.610000000001,9954.1,10504.92,11055.74,11626.23,218.48,206.32,192.75,179.18,162.81,144.56,123.04,98.25,71.58,39.77,0.9399999999999999,0,0
124,"FE056-VD_.4M._",400,50,1,1000,800,1.45,4504.92,9639.35,4504.92,5016.39,5508.2,6019.67,6531.15,7042.62,7554.1,8085.25,8616.389999999999,9127.870000000001,9639.35,123.98,116.02,107.6,99.18000000000001,88.89,80.47,67.37,54.27,37.43,20.58,0.9399999999999999,0,0
125,"FE063-AD_.4I._",400,50,0,650,330,0.8,3672.13,8262.290000000001,3672.13,4114.75,4573.77,5032.79,5508.2,5950.82,6426.23,6885.25,7344.26,7786.88,8262.290000000001,73.14,69.40000000000001,64.09,58.64,52.09,44.91,38.05,31.03,22.46,12.63,0.31,0,0
