IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
66,"FB063-4D_.4M._L",230,50,5465.71,10076.21,910,650,0.21,5465.71,5900.31,6396.96,6810.66,7286.34,7761.91,8216.68,8692.030000000001,9125.940000000001,9621.75,10076.21,76.55,72.63,67.86,62.54,55.82,48.26,40.15,30.91,21.67,10.48,-0.05,0,0
67,"FB063-4D_.4M._L",180,50,4550.37,8252.93,730,450,0.19,4550.37,4902.28,5295.62,5668.1,5999.07,6371.44,6743.7,7136.61,7529.4,7860.04,8252.93,48.34,45.82,43.29,39.65,35.45,30.96,25.64,19.77,13.05,6.33,0.28,0,0
68,"FB063-4D_.4M._L",140,50,3532.71,6533.17,570,280,0.6,3532.71,3822.53,4133.1,4402.24,4754.18,5043.78,5333.46,5623.09,5933.38,6222.94,6533.17,29.91,27.95,26.27,24.58,22.34,18.7,15.61,12.25,8.33,4.41,0.04,0,0
69,"FB063-6E_.4I._L",230,50,6220.09,8885.219999999999,930,490,0.22,6220.09,6466.55,6745.96,7008.98,7288.56,7551.74,7798.61,8078.34,8341.77,8605.219999999999,8885.219999999999,68.34999999999999,64.26000000000001,59,53.74,47.32,40.89,33.88,26.28,18.1,9.720000000000001,0.17,0,0
70,"FB063-6E_.4I._L",160,50,5288,8327.85,800,370,0.24,5288,5567.12,5895.5,6191.03,6486.79,6782.49,7111.11,7406.99,7702.99,8031.85,8327.85,51.37,48.26,44.56,41.25,36.38,31.91,26.45,20.61,13.99,6.78,0.16,0,0
71,"FB063-6E_.4I._L",130,50,4127.02,7295.06,610,290,0.24,4127.02,4438.8,4734.2,5095.23,5407.08,5702.54,6030.84,6342.77,6654.7,6966.66,7295.06,29.9,27.77,25.43,22.71,19.99,17.27,14.15,10.84,7.54,4.03,0.14,0,0
72,"FB063-6E_.4I._L",105,50,2932.08,5475.34,450,200,0.21,2932.08,3178.17,3424.2,3703.13,3965.62,4228.13,4441.46,4736.78,4983,5245.59,5475.34,17.02,15.66,14.69,12.94,11.58,10.02,8.470000000000001,6.72,4.39,2.25,0.5,0,0
73,"FB063-6E_.4I._P",230,50,7005.82,10084.28,900,590,0.27,7005.82,7323.69,7641.41,7911.38,8228.879999999999,8530.389999999999,8863.559999999999,9148.93,9482,9783.190000000001,10084.28,66.3,62.51,57.77,53.19,47.19,40.71,33.13,25.4,17.19,8.82,-0.15,0,0
74,"FB063-6E_.4I._P",160,50,5042.24,8507.709999999999,670,450,0.3,5042.24,5392.09,5741.89,6091.69,6409.65,6775.32,7125.05,7474.72,7808.54,8189.99,8507.709999999999,37.3,34.29,30.98,27.66,24.34,20.7,16.91,12.8,9.16,4.58,-0.12,0,0
75,"FB063-6E_.4I._P",130,50,3749.46,6373.76,490,320,0.27,3749.46,4003.95,4258.44,4528.88,4815.16,5069.65,5308.24,5594.55,5833.08,6119.37,6373.76,20.12,18.22,16.32,14.58,12.37,10.47,8.73,6.68,4.62,2.41,-0.08,0,0
