IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1972,"ZB75KCE-TWC-B",0,0,3.2158,0.0853,0.19328,0.0019684,-0.0012968,-0.002767,1.0871e-05,-5.169e-05,9.939899999999999e-06,3.8765e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1973,"ZF33K4E-TWC-B",0,0,5.7984,0.06868,0.058496,0.00052553,0.00076464,0.00086883,6.2553e-06,1.126e-05,3.7641e-06,9.2473e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,"ZB92KCE-TWC-B",0,0,3.8207,0.10135,0.22964,0.0023387,-0.0015407,-0.0032875,1.2916e-05,-6.1413e-05,1.181e-05,4.6056e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,"ZF40K4E-TWC-B",0,0,7.008,0.1272,0.06132,0.001908,-0.001536,0.0009947999999999999,1.272e-05,-2.172e-05,2.244e-05,6.456e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1976,"ZB11MCE-TWC-B",0,0,4.5672,0.12114,0.2745,0.0027956,-0.0018417,-0.0039297,1.544e-05,-7.341100000000001e-05,1.4117e-05,5.5054e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,"ZF48K4E-TWC-B",0,0,6.259,0.10526,0.28911,0.0014028,0.00019887,-0.0043044,8.5249e-06,-1.2283e-05,8.061e-06,5.3692e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1978,"ZF11K4E-TF5",0,0,2.3228,0.049618,0.014457,0.00057541,-0.00044522,0.00019354,1.4732e-06,-4.3063e-06,3.6811e-06,2.3614e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1979,"ZB30KCE-TF5",0,0,1.5973,0.02512,0.033999,0.00077503,-0.0007863,-9.200300000000001e-05,1.3459e-05,-1.3881e-05,5.9297e-06,7.0567e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1980,"ZS30K4E-TF5",0,0,1.0144,-0.025261,0.12785,-0.0011389,0.0037803,-0.002693,-2.3134e-06,5.1664e-05,-4.3975e-05,2.7085e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1981,"ZF13K4E-TF5",0,0,1.9052,0.024686,0.047694,0.00017405,0.00012474,-0.000174,4.5449e-08,1.1616e-06,1.7131e-06,4.2182e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,"ZS38K4E-TF5",0,0,1.2491,-0.031432,0.15724,-0.0014112,0.0046662,-0.0033117,-2.8834e-06,6.3787e-05,-5.4252e-05,3.3308e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,"ZR94KC-TF7",0,0,3.0668,0.067719,0.049583,0.001473,-0.0020301,0.00023393,1.4135e-05,-2.309e-05,1.4895e-05,1.0532e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1984,"ZB30KCE-TF7",0,0,1.5973,0.02512,0.033999,0.00077503,-0.0007863,-9.200300000000001e-05,1.3459e-05,-1.3881e-05,5.9297e-06,7.0567e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,"ZS30K4E-TF7",0,0,1.0144,-0.025261,0.12785,-0.0011389,0.0037803,-0.002693,-2.3134e-06,5.1664e-05,-4.3975e-05,2.7085e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986,"ZF13K4E-TF7",0,0,1.9052,0.024686,0.047694,0.00017405,0.00012474,-0.000174,4.5449e-08,1.1616e-06,1.7131e-06,4.2182e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987,"ZS38K4E-TF7",0,0,1.2491,-0.031432,0.15724,-0.0014112,0.0046662,-0.0033117,-2.8834e-06,6.3787e-05,-5.4252e-05,3.3308e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,"ZB38KCE-TF7",0,0,0.45734,-0.011866,0.12738,0.00079948,0.0015761,-0.0019849,2.9703e-05,1.4675e-06,-2.2074e-05,2.2877e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989,"ZF15K4E-TF7",0,0,2.9985,0.07402,0.041449,0.0011099,-0.00076,-0.00024864,5.962e-06,-7.4653e-06,6.8985e-06,7.5104e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1990,"ZB45KQE-TF7",0,0,2.0017,0.033242,0.038733,0.00099442,-0.0010339,0.00032878,2.6806e-05,-2.2834e-05,8.0203e-06,7.2637e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991,"ZF18K4E-TF7",0,0,4.0842,0.06550599999999999,-0.013729,0.00079232,-0.00090946,0.0014507,2.5762e-06,-4.7728e-06,1.232e-05,-4.3577e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992,"ZS45K4E-TF7",0,0,3.1527,0.09897499999999999,0.06651700000000001,0.0031417,-0.00034895,-0.00096577,3.5892e-05,-3.1929e-05,-1.0438e-05,1.6488e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,"ZB56KCE-TW7",0,0,2.3039,0.06111,0.13847,0.0014102,-0.0009290499999999999,-0.0019823,7.7883e-06,-3.7032e-05,7.1211e-06,2.7772e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,"ZR108KC-TF7",0,0,2.8468,0.043244,0.09528399999999999,0.0010425,-0.0006168,-0.00055319,1.3779e-05,-1.9559e-05,1.9705e-06,1.6569e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
